Gender,Shift,Age,Educ,native_lang
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
