Gender,Shift,Age,Educ,native_lang
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Female,Day shift,< 40 Years,Graduate,Yes
Male,Night shift,>= 40 Years,Some college or College,No
